trans_date_trans_time,merchant,category,amt,gender,city,state,lat,long,city_pop,job,dob,merch_lat,merch_long,is_fraud,merch_zipcode,Customer_ID,Age,Age_Group,Customer_Segment,Credit_Limit,Account_Balance,Avg_Transaction_Amount,Last_Transaction_Amount,Transactions_Last_24H,Transactions_Last_1H,Time_Since_Last_Transaction_Min,Merchant_Risk_Score,Customer_Risk_Score,Device_Type,Transaction_Channel,Authentication_Method,OTP_Verified,Card_Present,New_Device_Flag,New_Merchant_Flag,Transaction_Hour,Day_of_Week,Weekend_Flag,Fraud_Probability,Predicted_Fraud,Risk_Category
2019-01-07 04:51:16,"Raynor, Feest and Miller",gas_transport,51.64,M,Sauk Rapids,MN,45.604,-94.1591,16163,Hydrographic surveyor,1987-02-22,45.490296,-93.952942,0,55319,CUST007658,38,26-40,Standard,7195.0,3818.05,48.34,45.04,7,1,1224,42,77,MOBILE,Mobile,Biometric,Yes,Yes,No,No,4,Monday,False,0.0,0,Low Risk
2019-01-04 22:39:40,Lynch-Mohr,travel,3.08,F,Roma,TX,26.4215,-99.0025,18128,IT trainer,1990-11-07,27.343817,-98.701593,0,78361,CUST009851,35,26-40,Standard,6925.0,4482.125,2.43,3.65,11,0,129,73,28,ATM,POS,Biometric,Yes,No,No,No,22,Friday,False,0.0,0,Low Risk
2019-01-15 17:58:37,"Reichert, Rowe and Mraz",shopping_net,1.33,F,Littleton,CO,39.5994,-105.0044,320420,Water engineer,1975-07-31,39.559612,-105.371079,0,80433,CUST010417,50,41-60,Gold,14085.0,5582.98,0.86,1.47,11,0,909,10,99,ATM,Mobile,OTP,Yes,No,No,No,17,Tuesday,False,0.0,0,Low Risk
2019-01-14 15:33:19,"Mosciski, Ziemann and Farrell",shopping_net,3.97,F,Diamond,OH,41.0935,-81.0425,2644,"Engineer, biomedical",1983-08-25,41.384025,-81.66282,0,44131,CUST010372,42,41-60,Platinum,52880.0,23735.18,3.36,4.5,11,0,802,97,51,ATM,POS,OTP,Yes,Yes,Yes,No,15,Monday,False,0.0,0,Low Risk
2019-01-13 16:25:09,Stark-Batz,entertainment,82.74,M,Boonton,NJ,40.9115,-74.414,15269,"Psychologist, sport and exercise",1993-07-05,41.599614,-73.984398,0,12542,CUST002794,32,26-40,Standard,7799.0,6062.54,57.19,60.78,10,1,753,56,52,POS,Online,Biometric,Yes,No,No,No,16,Sunday,True,0.0,0,Low Risk
2019-01-06 20:01:41,Stamm-Witting,shopping_net,514.22,F,Florence,MS,32.153,-90.1217,19685,Fine artist,1984-12-24,33.060423,-89.7068439999999,0,39160,CUST009317,41,41-60,Gold,15849.0,12320.04,317.02,331.05,3,4,1424,3,75,POS,POS,Biometric,Yes,No,No,No,20,Sunday,True,0.04,0,Low Risk
2019-01-12 01:04:00,"Reichert, Rowe and Mraz",shopping_net,100.14,M,Fort Washakie,WY,43.0048,-108.8964,1645,Freight forwarder,1976-02-26,42.5987,-109.092878,0,45777,CUST000101,49,41-60,Standard,7367.5,4926.41,67.71,60.48,2,0,1273,8,55,MOBILE,POS,PIN,Yes,Yes,No,Yes,1,Saturday,True,0.0,0,Low Risk
2019-01-14 01:45:25,Emard Inc,gas_transport,83.81,M,Omaha,NE,41.2064,-95.9953,518429,"Surveyor, land/geomatics",1995-10-10,40.283609,-96.451402,0,68332,CUST002607,30,26-40,Standard,6197.0,4654.21,61.23,83.49,9,4,578,13,11,WEB,POS,PIN,No,Yes,No,No,1,Monday,False,0.0,0,Low Risk
2019-01-15 21:08:27,"Hauck, Dietrich and Funk",kids_pets,28.57,F,Thrall,TX,30.592,-97.2893,1766,Press sub,1976-01-02,30.638577,-98.124516,0,78605,CUST001668,49,41-60,Standard,7360.0,5099.99,22.04,21.51,1,3,182,88,54,MOBILE,ATM,PIN,Yes,Yes,No,No,21,Tuesday,False,0.0,0,Low Risk
2019-01-13 05:49:04,Huels-Hahn,gas_transport,55.04,M,Tallmansville,WV,38.8564,-80.158,571,Accounting technician,1967-09-16,38.530087,-81.034292,0,25113,CUST002233,58,41-60,Standard,4219.0,4482.125,38.13,37.755,11,4,139,36,30,POS,ATM,PIN,Yes,Yes,No,No,5,Sunday,True,0.0,0,Low Risk
2019-01-08 19:04:15,Kihn Inc,shopping_pos,1.27,F,Ogdensburg,NJ,41.0767,-74.5982,2456,Senior tax professional/tax inspector,1994-03-13,40.339981,-74.649138,0,8540,CUST006997,31,26-40,Standard,4960.0,1376.38,1.19,1.01,6,1,162,8,38,WEB,ATM,PIN,No,Yes,No,No,19,Tuesday,False,0.0,0,Low Risk
2019-01-15 18:51:23,Heaney-Marquardt,entertainment,26.2,F,Ruidoso,NM,33.3305,-105.6933,8874,Licensed conveyancer,2000-08-16,34.321054,-106.139729,0,45777,CUST004373,25,18-25,Gold,17634.0,12219.23,17.96,22.65,7,0,23,17,1,POS,POS,OTP,Yes,No,No,No,18,Tuesday,False,0.0,0,Low Risk
2019-01-17 07:07:28,McGlynn-Heathcote,misc_net,34.37,F,Heislerville,NJ,39.224,-74.9942,526,Exercise physiologist,1940-09-06,38.974856,-75.762334,0,21639,CUST003429,85,60+,Standard,5844.0,1304.49,30.58,21.06,3,4,456,41,74,MOBILE,ATM,PIN,Yes,Yes,Yes,No,7,Thursday,False,0.0,0,Low Risk
2019-01-11 14:28:25,Terry-Huel,shopping_net,42.9,F,Oolitic,IN,38.8938,-86.5246,1228,Counsellor,1991-03-13,38.502537,-87.321826,0,47567,CUST004558,34,26-40,Standard,4057.0,3033.86,35.53,23.48,5,4,287,95,98,MOBILE,Online,Biometric,Yes,Yes,No,No,14,Friday,False,0.0,0,Low Risk
2019-01-03 19:48:44,Morissette LLC,entertainment,19.07,F,Irvine,PA,41.8117,-79.2643,528,Chief Marketing Officer,1972-09-13,42.359516,-79.748853,0,14775,CUST009585,53,41-60,Standard,4941.0,2065.34,14.47,37.755,1,4,104,50,29,MOBILE,POS,OTP,Yes,Yes,No,Yes,19,Thursday,False,0.0,0,Low Risk
2019-01-12 04:39:17,Simonis-Prohaska,misc_pos,3.85,M,Benton,WI,42.5545,-90.3508,1306,Public relations officer,1958-09-10,43.19363,-89.608494,0,53528,CUST007070,67,60+,Standard,6888.0,2779.9,2.34,2.65,3,1,551,28,27,MOBILE,Mobile,PIN,Yes,No,No,No,4,Saturday,True,0.0,0,Low Risk
2019-01-14 01:05:54,Predovic Inc,shopping_net,6.38,F,Noonan,ND,48.8856,-103.0098,248,Industrial/product designer,1968-05-13,49.290944,-102.556695,0,45777,CUST006513,57,41-60,Gold,15090.0,8405.67,5.78,7.35,5,4,522,11,24,WEB,POS,OTP,Yes,Yes,No,No,1,Monday,False,0.0,0,Low Risk
2019-01-15 11:01:45,Boyer PLC,shopping_net,95.91,M,Carroll,NE,42.277,-97.1926,566,Metallurgist,1975-01-26,41.855796,-97.015128,0,68641,CUST001213,50,41-60,Standard,6941.0,4482.125,78.24,55.24,7,0,154,68,5,WEB,Online,OTP,Yes,Yes,No,No,11,Tuesday,False,0.0,0,Low Risk
2019-01-15 02:42:27,Kutch and Sons,grocery_pos,116.37,M,Brinson,GA,30.9788,-84.7373,1461,"Engineer, broadcasting (operations)",1935-09-08,30.428214,-84.389926,0,32304,CUST006347,90,60+,Gold,17964.0,5411.28,95.97,69.02,11,3,1292,50,58,POS,Mobile,OTP,Yes,Yes,No,No,2,Tuesday,False,0.0,0,Low Risk
2019-01-04 16:38:47,"Hintz, Bauch and Smith",health_fitness,65.24,M,West Harrison,NY,41.0592,-73.7395,11250,Lexicographer,1977-08-16,41.537405,-73.063201,0,6708,CUST007223,48,41-60,Standard,7616.0,1547.46,58.47,59.69,9,2,1219,22,80,MOBILE,ATM,PIN,Yes,Yes,No,No,16,Friday,False,0.01,0,Low Risk
2019-01-01 05:44:16,Heller-Langosh,gas_transport,62.62,F,Paauilo,HI,20.0271,-155.3697,1490,"Scientist, research (maths)",1991-04-13,19.209212,-155.16214,0,45777,CUST008739,34,26-40,Gold,17535.0,4582.29,59.14,71.01,6,0,515,50,43,ATM,Mobile,Biometric,Yes,Yes,No,No,5,Tuesday,False,0.0,0,Low Risk
2019-01-12 04:21:49,Kuhic LLC,shopping_net,5.35,M,Bolton,NC,34.3091,-78.3372,2290,"Engineer, biomedical",1945-12-07,34.83031,-79.04691,0,28386,CUST003475,80,60+,Standard,6581.0,5660.84,4.86,3.55,7,0,1040,73,10,MOBILE,Online,OTP,Yes,Yes,No,No,4,Saturday,True,0.0,0,Low Risk
